COMMON_WELL_NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3795.6744,0.089075,0.0,0.0,0.0014,0.090898,0.8,2.66,0.0211668,0.0,1.0,115.7433,0.509408,OTHER
15/9-19 A,3795.8268,0.08886099999999998,0.0,0.0,0.0017,0.089254,0.8,2.66,0.0211662,0.0,1.0,115.7468,0.497069,OTHER
15/9-19 A,3795.9792,0.094323,0.0,0.0,0.0328,0.110133,0.8,2.66,0.0211657,0.0,0.9616,115.7503,0.381703,OTHER
15/9-19 A,3796.1316,0.08879399999999998,0.0,0.0,0.0348,0.08879399999999998,0.8,2.66,0.0211652,0.0,1.0,115.7538,0.361054,CLST.SLTY-X-X
15/9-19 A,3796.284,0.100462,0.0,0.0,0.6572,0.125125,0.8,2.66,0.0211646,1.0,0.8604,115.7574,0.353699,OTHER
15/9-19 A,3796.4364,0.096092,0.0,0.0,0.6231,0.10224200000000001,0.8,2.66,0.0211641,1.0,1.0,115.7609,0.335932,OTHER
15/9-19 A,3796.5888,0.106242,0.0,0.0,2.3266,0.149812,0.8,2.66,0.0211635,1.0,0.7441,115.7644,0.314641,OTHER
15/9-19 A,3796.7412,0.102902,0.0,0.0,2.4921,0.135541,0.8,2.66,0.021163,1.0,0.7979,115.7679,0.298641,OTHER
15/9-19 A,3796.8936,0.103638,0.0,0.0,5.6404,0.137626,0.8,2.66,0.0211625,1.0,0.7831,115.77140000000003,0.261078,OTHER
15/9-19 A,3797.046,0.0961,0.0,0.0,3.9567,0.101755,0.8,2.66,0.0211619,1.0,0.9931,115.775,0.246301,OTHER
15/9-19 A,3797.1984,0.07805,0.0,0.0,3.4181,0.07805,0.8,2.66,0.0211614,0.0,1.0,115.7785,0.232291,CLST.SLTY-X-X
15/9-19 A,3797.3508,0.100449,0.0,0.0,7.606799999999998,0.12508300000000003,0.8,2.66,0.0211608,1.0,0.8335,115.782,0.235495,OTHER
15/9-19 A,3797.5032,0.09742,0.0,0.0,4.4182,0.117236,0.8,2.66,0.0211603,1.0,0.8698,115.78550000000003,0.254738,OTHER
15/9-19 A,3797.6556,0.1012,0.0,0.0,15.1338,0.139696,0.8,2.66,0.0211597,1.0,0.7441,115.789,0.215291,OTHER
15/9-19 A,3797.808,0.10329,0.0,0.0,11.7915,0.149424,0.8,2.66,0.0211592,1.0,0.7115,115.7926,0.235981,OTHER
15/9-19 A,3797.9604,0.098539,0.0,0.0,10.6562,0.119473,0.8,2.66,0.0211587,1.0,0.8529,115.7961,0.214243,OTHER
15/9-19 A,3798.1128,0.10288000000000001,0.0,0.0,16.602599999999995,0.13274300000000003,0.8,2.66,0.0211581,1.0,0.7958,115.7996,0.204641,CLST.SLTY-X-X
15/9-19 A,3798.2652,0.109847,0.0,0.0,10.326,0.165462,0.8,2.66,0.0211576,1.0,0.6833,115.8031,0.256641,OTHER
15/9-19 A,3798.4176,0.108413,0.0,0.0,12.4972,0.16023599999999996,0.8,2.66,0.021157,1.0,0.6952,115.8066,0.242786,OTHER
15/9-19 A,3798.57,0.097812,0.0,0.0,11.0614,0.112554,0.8,2.66,0.0211565,1.0,0.8991,115.8102,0.206291,OTHER
15/9-19 A,3798.7224,0.012224,0.0,0.0,1.4084,0.012224,0.8,2.66,0.0211559,0.0,1.0,115.8137,0.216563,OTHER
15/9-19 A,3798.8748,0.062702,0.0,0.0,2.8455,0.062702,0.8,2.66,0.0211554,0.0,1.0,115.81720000000003,0.227495,OTHER
15/9-19 A,3799.0272,0.00828,0.0,0.0,2.8942,0.00828,0.8,2.66,0.0211549,0.0,1.0,115.8207,0.178301,OTHER
15/9-19 A,3799.1796,0.0,0.0,0.0,3.3554,0.0,0.8,2.66,0.0211543,0.0,1.0,115.8242,0.163806,SST-CALC-ARG
15/9-19 A,3799.332,0.019188,0.0,0.0,7.729899999999998,0.019188,0.8,2.66,0.0211538,0.0,1.0,115.8278,0.140592,OTHER
15/9-19 A,3799.4844,0.064874,0.0,0.0,12.0625,0.064874,0.8,2.66,0.0211532,0.0,1.0,115.8313,0.159728,OTHER
15/9-19 A,3799.6368,0.081679,0.0,0.0,21.6189,0.092365,0.8,2.66,0.0211527,0.0,0.9087,115.8348,0.15601,OTHER
15/9-19 A,3799.7892,0.079493,0.0,0.0,27.7134,0.082834,0.8,2.66,0.0211521,0.0,0.9837,115.8383,0.135553,OTHER
15/9-19 A,3799.9416,0.078293,0.0,0.0,31.9004,0.079583,0.8,2.66,0.0211516,0.0,1.0,115.8419,0.125874,OTHER
15/9-19 A,3800.094,0.081582,0.0,0.0,38.1226,0.094029,0.8,2.66,0.0211511,0.0,0.8841,115.8454,0.130117,CLST.SLTY-X-X
15/9-19 A,3800.2464,0.084648,0.0,0.0,48.3564,0.105867,0.8,2.66,0.0211505,1.0,0.8113,115.8489,0.129165,OTHER
15/9-19 A,3800.3988,0.085468,0.0,0.0,31.7582,0.105914,0.8,2.66,0.02115,1.0,0.8236,115.8524,0.14949499999999996,OTHER
15/9-19 A,3800.5512,0.08463099999999998,0.0,0.0,42.317,0.099488,0.8,2.66,0.0211494,1.0,0.8651,115.856,0.129932,OTHER
15/9-19 A,3800.7036,0.08503199999999998,0.0,0.0,28.5308,0.099998,0.8,2.66,0.0211489,1.0,0.8696,115.8595,0.149408,OTHER
15/9-19 A,3800.856,0.08965299999999998,0.0,0.0,24.9944,0.119814,0.8,2.66,0.0211483,1.0,0.7652,115.86300000000003,0.173408,OTHER
15/9-19 A,3801.0084,0.070089,0.0,0.0,10.2764,0.070089,0.8,2.66,0.0211478,0.0,1.0,115.8665,0.172097,OTHER
15/9-19 A,3801.1608,0.029729,0.0,0.0,12.3579,0.029729,0.8,2.66,0.0211473,0.0,1.0,115.8701,0.12732,CLST.SLTY-X-X
15/9-19 A,3801.3132,0.021537,0.0,0.0,4.6567,0.021537,0.8,2.66,0.0211467,0.0,1.0,115.8736,0.167136,OTHER
15/9-19 A,3801.4656,0.077199,0.0,0.0,11.4695,0.077199,0.8,2.66,0.0211462,0.0,1.0,115.8771,0.173117,OTHER
